Iteration (t),m,Real number of distinct Integers (n),Estimation,Within 1 StDev range?,Within 2 StDev range?,Sigma,1 StDev lower bound,1 StDev upper bound,2 StDev lower bound,2 StDev upper bound
1,16,1000000,756974.4638103523,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
1,256,1000000,1066153.6723663672,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
1,1024,1000000,1059969.3339498376,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
2,16,1000000,1019044.9769132341,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
2,256,1000000,968931.662712861,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
2,1024,1000000,939391.0321140267,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
3,16,1000000,1524285.763786182,false,false,0.26,740000.0,1260000.0,480000.0,1520000.0
3,256,1000000,1001142.2583193429,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
3,1024,1000000,959644.2435508806,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
4,16,1000000,1406124.076670974,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
4,256,1000000,914010.6431479466,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
4,1024,1000000,981165.3488095518,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
5,16,1000000,893546.8270470722,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
5,256,1000000,1223127.6610560913,false,false,0.065,935000.0,1065000.0,870000.0,1130000.0
5,1024,1000000,1053510.347780024,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
6,16,1000000,975215.085433095,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
6,256,1000000,1044022.9443275636,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
6,1024,1000000,1004102.5569661338,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
7,16,1000000,1170258.1025197138,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
7,256,1000000,934853.2502872887,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
7,1024,1000000,1031309.8461992153,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
8,16,1000000,904688.3086810756,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
8,256,1000000,958833.62494864,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
8,1024,1000000,999238.7455347554,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
9,16,1000000,1255294.1584121499,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
9,256,1000000,1044763.2372428231,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
9,1024,1000000,1006635.7128710388,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
